"POSTCODE","DISTRICT","area_sqkm","proportion_in_district"
"3938","Nepean","4.291","1"
"3199","Frankston","34.624","1"
"3929","Nepean","56.167","1"
"3518","Mildura","50.72","0.044920574"
"3518","Ripon","905.173","0.801673717"
"3518","Murray Plains","173.211","0.153405709"
"3352","Eureka","964.16","0.512644643"
"3352","Ripon","916.597","0.487355357"
"3468","Ripon","217.736","1"
"3576","Murray Plains","146.103","1"
"3467","Ripon","102.594","1"
"3375","Ripon","377.974","1"
"3537","Murray Plains","781.327","1"
"3517","Bendigo East","266.55","0.268269338"
"3517","Ripon","599.963","0.603832965"
"3517","Murray Plains","127.078","0.127897696"
"3567","Murray Plains","159.478","1"
"3225","Bellarine","33.735","0.55970335"
"3926","Hastings","30.078","0.544004341"
"3926","Nepean","25.212","0.455995659"
"3226","Bellarine","18.545","1"
"3106","Bulleen","14.841","0.915602443"
"3106","Warrandyte","1.368","0.084397557"
"3758","Euroa","17.023","0.379554069"
"3758","Yan Yean","27.827","0.620445931"
"3412","Lowan","323.522","1"
"3133","Glen Waverley","9.566","0.889446769"
"3133","Ringwood","1.189","0.110553231"
"3160","Monbulk","21.04","1"
"3788","Monbulk","17.858","1"
"3294","Lowan","928.469","1"
"3852","Gippsland South","9.442","1"
"3016","Williamstown","7.52","1"
"3223","Bellarine","71.897","1"
"3042","Niddrie","8.82","1"
"3127","Kew","0.866","0.141134289"
"3127","Hawthorn","1.93","0.314537158"
"3127","Box Hill","3.34","0.544328553"
"3333","Eureka","240.404","1"
"3147","Ashwood","5.463","1"
"3527","Mildura","1058.769","0.88872558"
"3527","Murray Plains","132.565","0.11127442"
"3750","Mill Park","2.548","0.046881325"
"3750","Thomastown","42.343","0.779080037"
"3750","Yan Yean","9.459","0.174038638"
"3088","Bundoora","8.04","0.611639407"
"3088","Eltham","5.105","0.388360593"
"3095","Eltham","29.633","1"
"3051","Melbourne","2.37","1"
"3242","Polwarth","126.403","1"
"3089","Eltham","17.85","1"
"3762","Euroa","29.321","0.722601474"
"3762","Macedon","11.256","0.277398526"
"3338","Melton","83.925","0.742916073"
"3338","Werribee","29.042","0.257083927"
"3767","Monbulk","7.936","1"
"3097","Eildon","39.859","1"
"3193","Sandringham","8.335","1"
"3928","Nepean","27.182","1"
"3882","Gippsland East","69.832","1"
"3875","Gippsland East","2395.549","1"
"3054","Brunswick","2.316","1"
"3891","Gippsland East","1330.476","1"
"3931","Mornington","21.326","1"
"3802","Narre Warren North","15.492","1"
"3757","Eildon","122.649","0.430059153"
"3757","Yan Yean","162.542","0.569940847"
"3059","Greenvale","30.421","1"
"3172","Clarinda","12.39","1"
"3231","Polwarth","56.546","1"
"3919","Hastings","6.519","1"
"3540","Murray Plains","521.441","1"
"3516","Bendigo West","37.79","0.110278454"
"3516","Bendigo East","8.833","0.025776385"
"3516","Ripon","296.055","0.863945161"
"3033","Niddrie","9.689","1"
"3583","Murray Plains","28.808","1"
"3351","Lowan","704.964","0.470299566"
"3351","Eureka","269.213","0.179598897"
"3351","Ripon","524.791","0.350101537"
"3580","Murray Plains","59.215","1"
"3571","Bendigo East","348.476","1"
"3751","Yan Yean","31.254","1"
"3102","Kew","4.038","1"
"3575","Murray Plains","782.707","1"
"3487","Mildura","317.635","1"
"3162","Caulfield","4.736","1"
"3483","Mildura","1177.783","1"
"3599","Mildura","163.759","1"
"3991","Bass","48.208","1"
"3698","Ovens Valley","48.744","1"
"3174","Clarinda","1.143","0.093298506"
"3174","Dandenong","4.689","0.382744266"
"3174","Mulgrave","6.419","0.523957228"
"3151","Glen Waverley","2.039","0.47841389"
"3151","Box Hill","0.895","0.209995307"
"3151","Ashwood","1.328","0.311590802"
"3570","Bendigo East","570.257","1"
"3045","Sunbury","27.01","1"
"3782","Monbulk","88.94","1"
"3738","Ovens Valley","27.771","1"
"3061","Broadmeadows","12.234","1"
"3273","Lowan","222.833","1"
"3329","Eureka","263.742","0.890136149"
"3329","Polwarth","32.552","0.109863851"
"3941","Nepean","24.303","1"
"3302","South-West Coast","50.131","0.117184907"
"3302","Lowan","377.663","0.882815093"
"3336","Kororoit","12.834","0.440108364"
"3336","Sydenham","16.327","0.559891636"
"3936","Nepean","45.35","1"
"3391","Lowan","252.596","1"
"3163","Oakleigh","6.319","0.876178591"
"3163","Caulfield","0.893","0.123821409"
"3509","Mildura","619.948","1"
"3424","Lowan","880.322","0.635035206"
"3424","Mildura","505.935","0.364964794"
"3122","Hawthorn","5.908","1"
"3512","Mildura","1290.662","1"
"3496","Mildura","3379.232","1"
"3494","Mildura","931.035","1"
"3501","Mildura","1024.412","1"
"3937","Nepean","38.727","1"
"3990","Bass","25.744","1"
"3507","Mildura","462.591","1"
"3161","Caulfield","4.196","1"
"3073","Preston","18.826","1"
"3039","Essendon","4.26","0.978410657"
"3039","Niddrie","0.094","0.021589343"
"3169","Clarinda","11.952","1"
"3546","Mildura","1235.903","1"
"3760","Eildon","14.753","1"
"3490","Lowan","2881.417","0.186620973"
"3490","Mildura","12558.525","0.813379027"
"3420","Lowan","1674.352","1"
"3930","Mornington","23.359","1"
"3065","Richmond","1.403","1"
"3939","Nepean","100.504","1"
"3739","Ovens Valley","50.247","1"
"3149","Oakleigh","2.709","0.178411486"
"3149","Ashwood","12.475","0.821588514"
"3090","Yan Yean","10.947","1"
"3705","Benambra","239.037","1"
"3135","Ringwood","9.142","1"
"3334","Eureka","261.267","1"
"3887","Gippsland East","318.426","1"
"3885","Gippsland East","3665.715","1"
"3892","Gippsland East","242.207","1"
"3178","Rowville","21.662","1"
"3192","Clarinda","2.926","0.275647668"
"3192","Sandringham","4.292","0.40433349"
"3192","Bentleigh","3.397","0.320018841"
"3709","Benambra","544.138","1"
"3171","Mulgrave","11.006","1"
"3415","Lowan","47.507","1"
"3886","Gippsland East","55.224","1"
"3221","South Barwon","110.386","1"
"3219","Geelong","16.805","1"
"3275","South-West Coast","16.666","1"
"3865","Gippsland East","12.861","1"
"3878","Gippsland East","18.187","1"
"3670","Euroa","253.232","1"
"3880","Gippsland East","147.232","0.871370572"
"3880","Gippsland South","21.734","0.128629428"
"3218","Geelong","83.91","1"
"3407","Lowan","585.918","1"
"3682","Ovens Valley","156.089","0.457957909"
"3682","Benambra","184.748","0.542042091"
"3108","Bulleen","8.77","1"
"3187","Bentleigh","0.166","0.028929941"
"3187","Brighton","5.572","0.971070059"
"3807","Berwick","14.66","1"
"3067","Richmond","1.782","1"
"3330","Eureka","186.625","1"
"3533","Mildura","1317.632","0.967547983"
"3533","Murray Plains","44.194","0.032452017"
"3697","Ovens Valley","137.929","1"
"3903","Gippsland East","37.829","1"
"3888","Gippsland East","3374.127","1"
"3213","Geelong","13.211","0.051404669"
"3213","Eureka","13.034","0.050715953"
"3213","Lara","230.755","0.897879377"
"3105","Bulleen","6.496","1"
"3094","Eltham","3.799","1"
"3032","Footscray","5.489","0.563378836"
"3032","Essendon","4.254","0.436621164"
"3565","Murray Plains","57.407","1"
"3220","Geelong","11.602","1"
"3923","Bass","16.098","1"
"3337","Melton","152.879","1"
"3662","Euroa","412.226","1"
"3555","Bendigo West","25.109","0.612863071"
"3555","Bendigo East","15.861","0.387136929"
"3550","Bendigo West","13.242","0.250662527"
"3550","Bendigo East","39.586","0.749337473"
"3746","Ovens Valley","57.019","1"
"3515","Bendigo West","204.132","0.8891696"
"3515","Ripon","25.444","0.1108304"
"3058","Pascoe Vale","11.695","1"
"3704","Benambra","165.85","1"
"3200","Hastings","0.969","0.189442815"
"3200","Frankston","4.146","0.810557185"
"3563","Murray Plains","103.657","1"
"3205","Prahran","0.145","0.066943675"
"3205","Albert Park","2.021","0.933056325"
"3726","Euroa","245.4","1"
"3021","St Albans","15.492","0.780178275"
"3021","Kororoit","4.365","0.219821725"
"3129","Box Hill","6.118","1"
"3944","Nepean","11.236","1"
"3041","Essendon","7.898","1"
"3071","Northcote","5.136","1"
"3305","South-West Coast","802.857","1"
"3423","Lowan","685.218","1"
"3869","Gippsland South","96.038","1"
"3581","Murray Plains","144.696","1"
"3070","Northcote","6.031","1"
"3810","Pakenham","142.66","1"
"3091","Yan Yean","15.333","1"
"3523","Euroa","666.745","1"
"3542","Mildura","88.951","0.184347527"
"3542","Murray Plains","393.567","0.815652473"
"3022","St Albans","0.983","0.481862745"
"3022","Laverton","1.057","0.518137255"
"3595","Murray Plains","36.538","1"
"3978","Bass","53.411","0.554406834"
"3978","Cranbourne","6.292","0.065311037"
"3978","Berwick","26.478","0.274841964"
