"SA1_CODE_2016","district","proportion_in_district"
2103007,Macedon,1
2103008,Macedon,1
2103009,Macedon,1
2103010,Macedon,1
2103011,Macedon,1
2103012,Macedon,1
2103013,Macedon,1
2103014,Macedon,1
2103015,Macedon,1
2103016,Macedon,1
2103018,Macedon,1
2103019,Macedon,1
2103020,Macedon,1
2103021,Macedon,1
2103022,Macedon,1
2103023,Macedon,1
2103024,Macedon,1
2103025,Macedon,1
2103101,Macedon,1
2103102,Macedon,1
2103103,Macedon,1
2103104,Macedon,1
2103105,Macedon,1
2103106,Macedon,1
2103107,Macedon,1
2103108,Macedon,1
2103109,Macedon,1
2103110,Macedon,1
2103111,Macedon,1
2103112,Macedon,1
2103113,Macedon,1
2103114,Macedon,1
2103115,Macedon,1
2103116,Macedon,1
2103201,Bendigo East,1
2103202,Bendigo East,1
2103203,Bendigo East,1
2103204,Bendigo East,1
2103205,Bendigo East,1
2103206,Bendigo West,1
2103207,Bendigo East,0.5898
2103207,Bendigo West,0.1468
2103207,Ripon,0.2634
2103208,Bendigo East,1
2103209,Bendigo East,1
2103210,Bendigo East,1
2103211,Bendigo East,1
2103212,Bendigo East,1
2103213,Bendigo East,1
2103301,Ripon,1
2103302,Ripon,1
2103303,Bendigo East,0.0334
2103303,Ripon,0.9666
2103304,Ripon,1
2103305,Bendigo East,1
2103306,Ripon,1
2103307,Ripon,1
2103308,Ripon,1
2103309,Ripon,1
2103310,Ripon,1
2103311,Ripon,1
2103312,Bendigo East,1
2103313,Murray Plains,1
2103314,Ripon,1
2103315,Murray Plains,1
2103316,Murray Plains,1
2103317,Murray Plains,1
2103318,Murray Plains,1
2103319,Murray Plains,1
2103320,Murray Plains,1
2103321,Ripon,1
2103322,Ripon,1
2103401,Geelong,1
2103402,Geelong,1
2103403,Geelong,1
2103404,Geelong,1
2103405,Geelong,1
2103407,Geelong,1
2103408,Geelong,1
2103409,Geelong,1
2103410,Geelong,1
2103411,Geelong,1
2103412,Geelong,1
2103413,Geelong,1
2103501,Eureka,1
2103502,Eureka,1
2103503,Eureka,1
2103504,Eureka,1
2103505,Eureka,1
2103506,Eureka,1
2103507,Eureka,0.4689
2103507,Geelong,0.5311
2103508,Eureka,1
2103509,Eureka,1
2103510,Eureka,1
2103511,Eureka,1
2103512,Eureka,1
2103513,Eureka,1
2103514,Eureka,1
2103515,Eureka,1
2103516,Eureka,1
2103601,Polwarth,1
2103602,Polwarth,1
2103603,Polwarth,0.5727
2103603,South Barwon,0.4273
2103604,Polwarth,1
2103605,Polwarth,1
2103606,South Barwon,1
2103607,Polwarth,0.387
2103607,South Barwon,0.613
2103608,South Barwon,1
2103609,Polwarth,0.7018
2103609,South Barwon,0.2982
2103610,Polwarth,1
2103611,Polwarth,1
2103612,South Barwon,1
2103613,Polwarth,1
2103614,South Barwon,1
2103615,Polwarth,1
2103616,Polwarth,1
2103701,Geelong,1
2103702,Geelong,1
2103703,Geelong,0.9647
2103703,South Barwon,0.0353
2103704,Geelong,0.8027
2103704,South Barwon,0.1973
2103705,Geelong,1
2103706,Geelong,1
2103707,Geelong,1
2103708,Geelong,1
2103709,Geelong,1
2103710,Geelong,1
2103711,South Barwon,1
2103712,South Barwon,1
2103713,South Barwon,1
2103714,South Barwon,1
2103715,South Barwon,1
2103716,South Barwon,1
2103717,South Barwon,1
2103718,South Barwon,1
2103719,South Barwon,1
2103720,Geelong,0.9626
2103720,South Barwon,0.0374
2103721,Geelong,0.7413
2103721,South Barwon,0.2587
2103722,Geelong,0.9788
2103722,South Barwon,0.0212
2103723,South Barwon,1
2103724,Geelong,1
2103725,Geelong,1
