SA1_CODE21,Electorate,proportion
10104101911,Eden-Monaro,1
10104101912,Eden-Monaro,1
10104101913,Eden-Monaro,1
10104101915,Eden-Monaro,1
10104101917,Eden-Monaro,1
10104101918,Eden-Monaro,1
10104101919,Eden-Monaro,1
10104101920,Eden-Monaro,1
10104101921,Eden-Monaro,1
10104101924,Eden-Monaro,1
10104101925,Eden-Monaro,1
10104101926,Eden-Monaro,1
10104101927,Eden-Monaro,1
10104101928,Eden-Monaro,1
10104101929,Eden-Monaro,1
10104101930,Eden-Monaro,1
10104101931,Eden-Monaro,1
10104101932,Eden-Monaro,1
10104101933,Eden-Monaro,1
10104102001,Eden-Monaro,1
10104102002,Eden-Monaro,1
10104102003,Eden-Monaro,1
10104102004,Eden-Monaro,1
10104102005,Eden-Monaro,1
10104102006,Eden-Monaro,1
10104102007,Eden-Monaro,1
10104102008,Eden-Monaro,1
10104102009,Eden-Monaro,1
10104102010,Eden-Monaro,1
10104102011,Eden-Monaro,1
10104102012,Eden-Monaro,1
10104102013,Eden-Monaro,1
10104102014,Eden-Monaro,1
10104102015,Eden-Monaro,1
10104102016,Eden-Monaro,1
10104102017,Eden-Monaro,1
10104102018,Eden-Monaro,1
10104102019,Eden-Monaro,1
10104102020,Eden-Monaro,1
10104102021,Eden-Monaro,1
10104102022,Eden-Monaro,1
10104102023,Eden-Monaro,1
10104102024,Eden-Monaro,1
10104102025,Eden-Monaro,1
10104102026,Eden-Monaro,1
10104102027,Eden-Monaro,1
10104102028,Eden-Monaro,1
10104102029,Eden-Monaro,1
10104102030,Eden-Monaro,1
10104102031,Eden-Monaro,1
10104102032,Eden-Monaro,1
10104102102,Gilmore,1
10104102104,Gilmore,1
10104102105,Gilmore,1
10104102106,Gilmore,1
10104102107,Gilmore,1
10104102108,Gilmore,1
10104102110,Gilmore,1
10104102111,Gilmore,1
10104102201,Gilmore,0.070910938
10104102201,Eden-Monaro,0.929089062
10104102301,Eden-Monaro,1
10104102302,Eden-Monaro,1
10104102303,Eden-Monaro,1
10104102304,Eden-Monaro,1
10104102305,Eden-Monaro,1
10104102306,Eden-Monaro,1
10104102307,Eden-Monaro,1
10104102308,Eden-Monaro,1
10104102309,Eden-Monaro,1
10104102310,Eden-Monaro,1
10104102401,Gilmore,1
10104102402,Gilmore,1
10104102403,Gilmore,1
10104102404,Gilmore,1
10104102405,Gilmore,1
10104102406,Eden-Monaro,0.120368224
10104102406,Gilmore,0.879631776
10104102407,Eden-Monaro,1
10104102408,Eden-Monaro,1
10104102409,Eden-Monaro,1
10104102410,Eden-Monaro,1
10104102411,Gilmore,1
10104102412,Gilmore,1
10104102501,Eden-Monaro,1
10104102502,Eden-Monaro,1
10104102503,Eden-Monaro,1
10104102504,Eden-Monaro,1
10104102505,Eden-Monaro,1
10104102506,Eden-Monaro,1
10104102507,Eden-Monaro,1
10104102508,Eden-Monaro,1
10104102509,Eden-Monaro,1
10104102510,Eden-Monaro,1
10104102511,Eden-Monaro,1
10104102512,Eden-Monaro,1
10104102513,Eden-Monaro,1
10104102514,Eden-Monaro,1
10104102516,Eden-Monaro,1
10104102517,Eden-Monaro,1
10104102518,Eden-Monaro,1
10104102519,Eden-Monaro,1
10104102520,Eden-Monaro,1
10104102521,Eden-Monaro,1
10104102522,Eden-Monaro,1
10104102523,Eden-Monaro,1
10104102524,Eden-Monaro,1
10104102525,Eden-Monaro,1
10104102526,Eden-Monaro,1
10104102527,Eden-Monaro,1
10104102528,Eden-Monaro,1
10104102529,Eden-Monaro,1
10104102530,Eden-Monaro,1
10104102531,Eden-Monaro,1
10104102532,Eden-Monaro,1
10104102601,Eden-Monaro,1
10104102603,Eden-Monaro,1
10104102604,Eden-Monaro,1
10104102605,Eden-Monaro,1
10104102606,Gilmore,1
10104102607,Gilmore,1
10104102608,Gilmore,1
10104102609,Gilmore,1
10104102610,Gilmore,1
10104102611,Gilmore,1
10104102613,Gilmore,1
10104102614,Gilmore,1
10104102615,Gilmore,1
10104102616,Gilmore,1
10104102617,Gilmore,1
10104102618,Gilmore,1
10104102619,Gilmore,1
10104102620,Gilmore,1
10104102621,Gilmore,1
10104102622,Gilmore,1
10104102623,Gilmore,1
10104102624,Gilmore,1
10104102625,Gilmore,1
10104102626,Eden-Monaro,1
10104102627,Eden-Monaro,1
10104102701,Eden-Monaro,1
10104102702,Eden-Monaro,1
10104102703,Eden-Monaro,1
10104102704,Eden-Monaro,1
10104102705,Eden-Monaro,1
10104102706,Eden-Monaro,1
10104102707,Eden-Monaro,1
10104102708,Eden-Monaro,1
10104102709,Eden-Monaro,1
10104102710,Eden-Monaro,1
10104102711,Eden-Monaro,1
10104102712,Eden-Monaro,1
10104102713,Eden-Monaro,1
10104102714,Eden-Monaro,1
10104102715,Eden-Monaro,1
10104102716,Eden-Monaro,1
10104102719,Eden-Monaro,1
10104102720,Eden-Monaro,1
10104102721,Eden-Monaro,1
10104102722,Eden-Monaro,1
10104102723,Eden-Monaro,1
10104102724,Eden-Monaro,1
10104102725,Eden-Monaro,1
10104102726,Eden-Monaro,1
10104102728,Eden-Monaro,1
10104102729,Eden-Monaro,1
10104102730,Eden-Monaro,1
10104102731,Eden-Monaro,1
10104102732,Eden-Monaro,1
10104102733,Eden-Monaro,1
10105153901,Eden-Monaro,1
10105153902,Eden-Monaro,1
10105153903,Eden-Monaro,1
10105153904,Eden-Monaro,1
10105153905,Eden-Monaro,1
10105153906,Eden-Monaro,1
10105153907,Eden-Monaro,1
10105153909,Eden-Monaro,1
10105153910,Eden-Monaro,1
10105153911,Eden-Monaro,1
10105153912,Eden-Monaro,1
10105153913,Eden-Monaro,1
10105153914,Eden-Monaro,1
10105153915,Eden-Monaro,1
10105153916,Eden-Monaro,1
10105153917,Eden-Monaro,1
10105153918,Eden-Monaro,1
10105153919,Eden-Monaro,1
10105153920,Eden-Monaro,1
10105153921,Eden-Monaro,1
10105153922,Eden-Monaro,1
10105153923,Eden-Monaro,1
10105153924,Eden-Monaro,1
10105153925,Eden-Monaro,1
10105153926,Eden-Monaro,1
10105153927,Eden-Monaro,1
10105153928,Eden-Monaro,1
10105153929,Eden-Monaro,1
10105153930,Eden-Monaro,1
10105153931,Eden-Monaro,1
10105153932,Eden-Monaro,1
10105153933,Eden-Monaro,1
10105153934,Eden-Monaro,1
10105153935,Eden-Monaro,1
10105153936,Eden-Monaro,1
10105153937,Eden-Monaro,1
10105153938,Eden-Monaro,1
10105153939,Eden-Monaro,1
10105153940,Eden-Monaro,1
10105153941,Eden-Monaro,1
10105153942,Eden-Monaro,1
10105153943,Eden-Monaro,1
10105153944,Eden-Monaro,1
10105153945,Eden-Monaro,1
10105153946,Eden-Monaro,1
10105153947,Eden-Monaro,1
10105153948,Eden-Monaro,1
10105153949,Eden-Monaro,1
10105153950,Eden-Monaro,1
10105153951,Eden-Monaro,1
10105153952,Eden-Monaro,1
10105153953,Eden-Monaro,1
10105153954,Eden-Monaro,1
10105153955,Eden-Monaro,1
10105153956,Eden-Monaro,1
10105153957,Eden-Monaro,1
10105153958,Eden-Monaro,1
10105153959,Eden-Monaro,1
10105153960,Eden-Monaro,1
10105153961,Eden-Monaro,1
10105153962,Eden-Monaro,1
10105153963,Eden-Monaro,1
10105153964,Eden-Monaro,1
10105153965,Eden-Monaro,1
10105153966,Eden-Monaro,1
10105153967,Eden-Monaro,1
10105153968,Eden-Monaro,1
10105153969,Eden-Monaro,1
10105153970,Eden-Monaro,1
10105154001,Eden-Monaro,1
10105154002,Eden-Monaro,1
10105154003,Riverina,1
10105154004,Eden-Monaro,1
10105154005,Riverina,1
10105154006,Riverina,1
10105154007,Riverina,0.106837014
10105154007,Eden-Monaro,0.893162986
10105154008,Riverina,1
10105154009,Riverina,1
10105154010,Riverina,1
10105154011,Riverina,1
10105154012,Eden-Monaro,1
10105154014,Riverina,1
10105154015,Riverina,1
10105154016,Eden-Monaro,1
10105154017,Riverina,1
10105154018,Whitlam,0.097023363
10105154018,Riverina,0.902976637
10105154019,Riverina,1
10105154020,Eden-Monaro,1
10105154021,Riverina,1
10105154022,Whitlam,0.022971942
10105154022,Eden-Monaro,0.977028058
10105154023,Riverina,0.029479676
10105154023,Eden-Monaro,0.970520324
10105154024,Riverina,1
10105154025,Eden-Monaro,1
10105154026,Riverina,1
10105154027,Eden-Monaro,1
10105154028,Riverina,0.114968233
10105154028,Eden-Monaro,0.885031767
10105154029,Eden-Monaro,1
10105154030,Riverina,1
10105154031,Riverina,1
10105154032,Eden-Monaro,1
10105154033,Eden-Monaro,1
10105154034,Riverina,0.303093249
10105154034,Eden-Monaro,0.696906751
10105154035,Riverina,1
10106154101,Riverina,1
10106154102,Riverina,1
10106154103,Riverina,1
10106154104,Riverina,1
10106154105,Riverina,1
10106154106,Riverina,1
10106154107,Riverina,1
10106154108,Riverina,1
10106154109,Riverina,1
10106154111,Riverina,1
10106154112,Riverina,1
10106154113,Riverina,1
10106154115,Riverina,1
10106154116,Riverina,1
10106154117,Riverina,1
10106154118,Riverina,1
10106154201,Riverina,1
10106154202,Riverina,1
10106154203,Riverina,1
10106154204,Riverina,1
10106154206,Riverina,1
10106154207,Riverina,1
10106154208,Riverina,1
